Score,Text,Time
0.4215,"️🗳️🐴💸 Ff PAC spent $142,500 for media buys starting Nov 5th to oppose Mehmet Oz, Republican candidate for Senate in… https://t.co/gSCprrfFYF",2022-11-08T13:00:12.000Z
-0.5106,"Stop the fascist takeover of #Twitter, #MehmetOz supports genocide https://t.co/OJhWZ09xX1",2022-11-08T12:53:04.000Z
0,"#FascistOfOz ain't even a #RealAmerican according to what #Republicans say about most #Immigrant. #MehmetOz is… https://t.co/Y5tGRS4lJd",2022-11-08T12:35:56.000Z
0,"#VoteBlueToEndTheInsanity

#Mastriano Not one redeeming quality!
Who votes for these #Vile #insurrectionists ?… https://t.co/P1gLaDT5L7",2022-11-08T12:27:47.000Z
-0.4019,#MehmetOz (The #Republican nominee for US Senate in #Pennsylvania) - Problems with health and funding. When #DrOz w… https://t.co/796q368j9t,2022-11-08T12:03:04.000Z
-0.4466,RT @Roadmaster1253: PENNSYLVANIA VOTE NO ON #MehmetOz #DrOz SNAKE OIL SALESMAN.......#Pennsylvania #VoteBlueToSaveAmerica #FettermanForSena…,2022-11-08T11:43:07.000Z
0,"RT @Roadmaster1253: #MehmetOz (AKA) #DrOz 
(AKA) SNAKE OIL SALESMAN""
#Pennsylvania #VoteOutOz #VoteNoOnOz 
#Midterm #MIDTERMELECTIONS",2022-11-08T11:40:49.000Z
0,"RT @Roadmaster1253: #MehmetOz (AKA) #DrOz 
(AKA) SNAKE OIL SALESMAN""
#Pennsylvania #VoteOutOz #VoteNoOnOz 
#Midterm #MIDTERMELECTIONS",2022-11-08T11:21:13.000Z
0,"#VoteBlueToday #Pennsylvania #women 
#JohnFettermanForSenate 

#MehmetOz wants your “local political leader” to mak… https://t.co/JbwbsVpHPo",2022-11-08T10:38:24.000Z
0.0258,"RT @PGPavlos: I hope that American people will wisely avoid today selecting a servant of a criminal rogue state, in the 🇺🇸 US Senate.
#Stop…",2022-11-08T09:25:53.000Z
0.0258,"I hope that American people will wisely avoid today selecting a servant of a criminal rogue state, in the 🇺🇸 US Sen… https://t.co/HqLeW50GD7",2022-11-08T09:22:17.000Z
0,Who Is Mehmet Oz? Know All About the Republican Nominee For US Senate Election 2022 in Pennsylvania Who May Become… https://t.co/mSoJ0Nc15k,2022-11-08T09:11:03.000Z
0,"@seanhannity So you are not #media? Just a #RightWing #commentator. Unlike the Media
@PBS @nbc @cbs who do their ho… https://t.co/N28zXlVhzi",2022-11-08T07:52:30.000Z
0,"BLOG
メフメト・オズ：共和党の連邦上院議員候補（ペンシルバニア）、神の下での団結を信じる－2022米中間選挙／#MehmetOz：Federal senator candidate of #Republican (… https://t.co/5nkaHPzLD6",2022-11-08T07:29:13.000Z
0,"Dr. Mehmet Öz, Pensilvanya'da seçmenlerle bir araya geldi
https://t.co/98KftMTzLz #droz #mehmetoz #pensilvanya #pensylvania @DrOz",2022-11-08T07:12:29.000Z
0,@ProfDemirtas #8kasım #8kasım2022 #abd #kongre #abdkongresecimleri #kongresecimi #senato #mehmetoz #abdsecimleri,2022-11-08T06:17:07.000Z
0,"RT @mapsin: 8 kasımda ne olacak? 8 KASIM HERŞEYİN SONU MU ? 8 kasım 2022, 8 KASIM AB... https://t.co/yJatjamY0M @YouTube aracılığıyla 

#8k…",2022-11-08T06:16:57.000Z
0,"8 kasımda ne olacak? 8 KASIM HERŞEYİN SONU MU ? 8 kasım 2022, 8 KASIM AB... https://t.co/yJatjamY0M @YouTube aracıl… https://t.co/gUtWJhfHYs",2022-11-08T06:16:52.000Z
0,"RT @BucksCoKierstyn: #Democrat @ashley_ehasz spent yesterday with the voters of #PA01 in an open-to-all rally.

#GOP Rep. Fitzpatrick spent…",2022-11-08T05:54:53.000Z
0,"RT @ChrisBohjalian: Since 2017, when I lecture in synagogues and Armenian churches about the links between the #ArmenianGenocide and the #H…",2022-11-08T05:21:37.000Z
0,"RT @ChrisBohjalian: Since 2017, when I lecture in synagogues and Armenian churches about the links between the #ArmenianGenocide and the #H…",2022-11-08T05:21:36.000Z
0,"RT @ChrisBohjalian: Since 2017, when I lecture in synagogues and Armenian churches about the links between the #ArmenianGenocide and the #H…",2022-11-08T05:16:35.000Z
0,"RT @ChrisBohjalian: Since 2017, when I lecture in synagogues and Armenian churches about the links between the #ArmenianGenocide and the #H…",2022-11-08T05:04:13.000Z
0,RT @sma_azra: #Ordu #mesleknoebetindeyiz #carsamba #earthquake #HaddiniBilCihanKolivar #Napoli #blindgetrouwd #GSvOF #RocaAFazenda #ALTIN #…,2022-11-10T04:46:07.000Z
0,"RT @yakupcetincom: Bozkırlı hemşehrimiz Mehmet Öz'ün ABD seçimlerindeki adaylığı için Anadolu Ajansı olarak yaptığımız çekimler.

Sağlık al…",2022-11-10T03:51:00.000Z
-0.8402,"#TrumpBlamesMelania
#MehmetOz
Trump blames Oz for harming his credibility If Trump knew Oz would lose he would not… https://t.co/fTrcmnaJcc",2022-11-10T03:47:08.000Z
0,RT @Mucahitozturk60: Seçim vaadi bu olan birinin seçilmemesine üzülecek değiliz. #MehmetOz https://t.co/yExZyrj6Yp,2022-11-10T03:08:33.000Z
0,"Ladies and gentlemen, the Senator of Pennsylvania…

#Midterms2022 #Midterms #Fetterman #MehmetOz #Pennsylvania #pa… https://t.co/F8GdCd5Yhk",2022-11-10T02:26:29.000Z
0.7906,"Yeah good job Pennsylvania, you dodged a real carpet bagging schmuck. I hope he dissolves out of public (and privat… https://t.co/TaiOgpmBks",2022-11-10T02:23:36.000Z
0.6808,Trump won my #Pennsylvania county twice. Last night #MehmetOz  and #ScottPerry won comfortably. But Shapiro beat… https://t.co/SgxK7iEsmL,2022-11-10T02:14:17.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-10T01:51:51.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-10T01:44:21.000Z
-0.6398,"Mehmet Oz did something that 
shouldn't be remarkable after his loss #MehmetOz #ElectionDayloss https://t.co/tSLsel8P5I",2022-11-10T01:16:42.000Z
-0.2411,Never a fan of the Ottoman tbh #Fetterman @JohnFetterman #MehmetOz #DrOz @DrOz https://t.co/9tqdwNUrpl,2022-11-10T01:07:13.000Z
0,"I've seen a START.
May all the #MAGARepublicans 
wind up in the trashcan of history,
and asap.

#LaurenBoebert… https://t.co/lqAqg6UKvr",2022-11-10T00:56:20.000Z
0,"Ce serait bien d'avoir un complément d'info sur l'échec du médiatique #MehmetOz en #Pennsylvanie Trump a choisi un… https://t.co/rrLfGeZbjq",2022-11-10T00:21:57.000Z
0,😂😂😂😂😂 #RedWave #RedTrickle #RedTsunami2022 #RedWave2022 #Trump #Trump2024 #GOP #GOPFascists #GQP #MehmetOz #PASen… https://t.co/MW5lVbRaK4,2022-11-10T00:16:09.000Z
0.296,"#JimmyKimmel calls Dr. Oz ‘phony,’ shares story Oz once told him about Trump https://t.co/BeZFWoqsrT #Candidate… https://t.co/c5QNMxsrZw",2022-11-10T00:10:10.000Z
0,#MehmetOz #Fetterman #FettermanForSenate #Pennsylvania #PennsylvaniaSenateRace #PAGOP #Midterms2022 #GOPFascists https://t.co/QxsqsCyUgx,2022-11-10T00:04:49.000Z
0.0258,"RT @artasovor_: genocide denier and Erdogan’s puppy #MehmetOz has lost #Pennsylvania’s tight #senate race 

God bless the Armenian people w…",2022-11-09T23:35:58.000Z
0.0258,"RT @artasovor_: genocide denier and Erdogan’s puppy #MehmetOz has lost #Pennsylvania’s tight #senate race 

God bless the Armenian people w…",2022-11-09T23:18:15.000Z
0.7717,"https://t.co/Twl07ymbyS #MehmetOz bowed out like a real person, he left with decency intact &amp; peacefully passed ove… https://t.co/pP364Tb23R",2022-11-09T22:59:17.000Z
0.0258,"RT @artasovor_: genocide denier and Erdogan’s puppy #MehmetOz has lost #Pennsylvania’s tight #senate race 

God bless the Armenian people w…",2022-11-09T22:55:42.000Z
0.5859,"Today’s Twitter winner, this tweet 👇😂🏆
#DrOz #MehmetOz #Pennsylvania #FettermanWins #OzTheHack https://t.co/NrnSEJHr9w",2022-11-09T22:39:33.000Z
0.4019,The “brainless Pennsylvanians” who voted for this….. “I don’t support” uh … never have ….. to “I support uhhhh duhh… https://t.co/19M5NjZywk,2022-11-09T22:28:06.000Z
0,"Now we have a sitting President and a Senator with Brain Damage...

https://t.co/0IEZh2SnsH 

#freebeacon… https://t.co/jCDjMLR32I",2022-11-09T22:20:38.000Z
-0.4588,"RT @WinstonWalenski: So Pennsylvania elected a literal vegetable to the Senate. 

Is it obvious now that Trump backed the wrong challenger…",2022-11-09T21:46:48.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T21:45:08.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T21:41:51.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T21:35:44.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T21:21:05.000Z
-0.4648,"Are y'all gonna admit that #MehmetOz was the WRONG choice to put on the @GOP ticket?",2022-11-09T21:20:37.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T21:18:26.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T21:17:01.000Z
0.836,"Always reward candidates that have prior public service history with local voters and connects best.

#DrOz/… https://t.co/bPzFfZfYLU",2022-11-09T20:58:23.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T20:56:05.000Z
-0.3412,"RT @Brexit_Mistake: Oh dear... its not been a good night for #LittleTrumpers

#MehmetOz, #LaurenBoebert, #SarahPalin, #KariLake and #DougMa…",2022-11-09T20:55:44.000Z
0,Amerika’da heyecanla beklenen seçimlerde eski Başkan Donald Trump’ın desteklediği Konyalı isim seçimi kaybetti.… https://t.co/My47KLnme7,2022-11-09T20:53:46.000Z
-0.3412,"Oh dear... its not been a good night for #LittleTrumpers

#MehmetOz, #LaurenBoebert, #SarahPalin, #KariLake and… https://t.co/gUBMw3bE4I",2022-11-09T20:52:56.000Z
0,#GOP #MAGATears #MAGA #TRUMP #Trump2024 #FettermanForSenate #Shapiro2022 #mastrianoLOST #MehmetOz #GOPFascists… https://t.co/oKiyfJGDai,2022-11-09T20:43:22.000Z
-0.4588,"RT @WinstonWalenski: So Pennsylvania elected a literal vegetable to the Senate. 

Is it obvious now that Trump backed the wrong challenger…",2022-11-09T20:34:40.000Z
-0.802,Red Wave Fails to Materialize: #MehmetOz in Pennsylvania lost to a man who is obviously a mental incompetent. The m… https://t.co/zbgocPNAqG,2022-11-09T20:33:29.000Z
0,"#MehmetOz 

#RepublicansAreTheProblem
#RepublicanFuckery
#BenedictDonald
#DonaldTrump
#Republicants
#Republitards… https://t.co/LwhSy06syh",2022-11-09T20:25:17.000Z
-0.4939,"Mehmet Oz has conceded. Now watch all the republicans turn their backs on him for being a coward. 

#MehmetOz",2022-11-09T20:21:18.000Z
-0.5423,"Fuck you, Dr. Oz

#MehmetOz #GodofWarRagnarok 
#DrOz https://t.co/OMuZffhX9m",2022-11-09T20:06:09.000Z
0,"RT @France24_fr: @BernardHarcourt @JDungelhoeff @MatthieuMabin Le candidat républicain #MehmetOz, adoubé par #DonaldTrump, n'aura pas réuss…",2022-11-09T20:01:54.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T20:00:21.000Z
0,"‘Stupid and reckless’: ‘The end of the Trump era’ after midterm ‘catastrophe’

At least 14 Trump-endorsed candidate… https://t.co/rL5q5daOJc",2022-11-09T19:39:53.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T19:39:14.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T19:33:49.000Z
0,RT @sma_azra: #Ordu #mesleknoebetindeyiz #carsamba #earthquake #HaddiniBilCihanKolivar #Napoli #blindgetrouwd #GSvOF #RocaAFazenda #ALTIN #…,2022-11-09T19:29:20.000Z
0,"RT @SetrozluT: #bist konusunda çok açıklayıcı bilgiler
#cvsbulten17 
#Kasıma100BinOEğretmen #mesleknoebetindeyiz #ABDSecimi #MehmetOz",2022-11-09T19:28:26.000Z
