Score,Text,Time
0.5709,"Very kind (and accurate) words from @MSNBC's @allinwithchris's @chrislhayes on Team @JohnFetterman.

cc:… https://t.co/J4AUoCfCjY",2022-11-09T06:10:46.000Z
0.6776,"@AOC 🥁🥁🥁 #JohnFetterman it is!!! Congrats #Pennsylvania!!!
💯🇺🇸🗳🔔✨
#VoteBlueToSaveDemocracy #BlueTsunami2022 #StandWithBiden",2022-11-09T06:10:42.000Z
0.9213,"Lol!!! I love nights like this.
Boy, it’s going to be nice to see one of us in the Senate. Just a regular guy fight… https://t.co/bFn6CmICZ7",2022-11-09T06:10:26.000Z
0.6809,YES!!!  +1 for Senate Democrats!!  #JohnFetterman!!!! https://t.co/wZyhYFPO2h,2022-11-09T06:09:43.000Z
-0.7972,LETS FUCKING GO @JohnFetterman NEVER A DOUBT IN MY MOTHERFUCKING MIND 4TH DAY IN A ROW WEARING THUS SHIRT FUCK WHAT… https://t.co/9neECmacGm,2022-11-09T06:09:02.000Z
0.636,Congratulations Senator #JohnFetterman !,2022-11-09T06:08:58.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:08:48.000Z
0,Otra derrota enorme para #Trump #GOP #MAGARepublicans #JohnFetterman gana en #Pennsylvania @AlexPadilla4CA… https://t.co/2zJmLx5xly,2022-11-09T06:08:29.000Z
0.0572,"RT @olderbrother21: @SpencerKarter #JohnFetterman has been elected by #Pennsylvania into the Senate. I don't feel sorry 4 #DrOz. Talkin' ab…",2022-11-09T06:08:14.000Z
0,Yahoo PA!!!! You did it!Congratulations #JohnFetterman &amp; #JoshShapiro https://t.co/WqBtBjxd7z,2022-11-09T06:08:04.000Z
0.5255,WooHoo!So proud of PA. Way to go #JohnFetterman 💙💙 https://t.co/9cERWQjUz4,2022-11-09T06:07:59.000Z
0.0572,"@SpencerKarter #JohnFetterman has been elected by #Pennsylvania into the Senate. I don't feel sorry 4 #DrOz. Talkin… https://t.co/yt8CO6lqPS",2022-11-09T06:06:48.000Z
0,Meltdown on @FoxNews over #Midterms2022 results… now that #PennsylvaniaSenateRace has been call #JohnFetterman,2022-11-09T06:05:27.000Z
0,"Soooo @DrOz you gonna stay in #Pennsylvania?

#Elections2022 #ElectionDay #Vote2022 #Midterms2022 #ElectionNight… https://t.co/qIoB4jdC5j",2022-11-09T06:05:27.000Z
0,"How about this ~&gt; the stroke patient #JohnFetterman fires the loco doctor Oz. Hey @MehmetOz, New Jersey is calling.… https://t.co/uxJfo1osSC",2022-11-09T06:05:20.000Z
0.9115,"The big guy has won it! #JohnFetterman will be our next Senator in Pennsylvania! 
Feels great to save our democracy… https://t.co/PeRFTfO4TD",2022-11-09T06:05:15.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:05:04.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:04:23.000Z
0.2732,Anxiously awaiting #JohnFetterman ‘s acceptance speech…oh wait…SMH…,2022-11-09T06:04:14.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:04:12.000Z
0,"Senator John Fetterman. 
#JohnFetterman https://t.co/I0d1v9k669 https://t.co/A6HM80NjxC",2022-11-09T06:04:08.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:04:04.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:04:03.000Z
0,Barely functioning #JohnFetterman being elected to the senate is a canary in a coal mine. Democrats will literally… https://t.co/Paire7IPzp,2022-11-09T06:03:49.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T06:03:23.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:03:05.000Z
0.9121,@JohnFetterman Won Yes !!! As a new PA resident I’m so happy for this man . Those disgusting ppl laughed at this ma… https://t.co/dw4X2m7n1y,2022-11-09T06:02:51.000Z
0.5893,👏🏾👏🏾👏🏾 #JohnFetterman UNITED STATES SENATOR from #Pennsylvania ! https://t.co/YKfV7bVYiJ,2022-11-09T06:02:49.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:02:42.000Z
0,RT @oyebee: 😂 🤣 🤣 🤣 @cat532653 #JohnFetterman #elections2022 #Midterms2022 #msnbc,2022-11-09T06:02:21.000Z
0.5859,#JohnFetterman Projected Winner in #PennsylvaniaSenate Race https://t.co/KrKK3QrW4C,2022-11-09T06:02:21.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:01:54.000Z
-0.2732,NBC calls #Pennsylvania for Democrats. #JohnFetterman has defeated #Trump endorsed #MehmetOz  in a pivotal victory… https://t.co/f1YlIwIGHG,2022-11-09T06:01:50.000Z
0.6322,How does #johnfetterman win ?? Pennsylvania what are u doing,2022-11-09T06:01:43.000Z
0.5267,Only Dem Senate gain this midterm? #Midterms #ElectionDay #JohnFetterman https://t.co/6Tt2R16oV3,2022-11-09T06:01:42.000Z
0,😂 🤣 🤣 🤣 @cat532653 #JohnFetterman #elections2022 #Midterms2022 #msnbc https://t.co/6VvMaPj0VX,2022-11-09T06:01:41.000Z
-0.2023,"#JohnFetterman has won the PA Senate Seat

And #laurenboebert is in trouble with her election

Ugh

#ElectionDay",2022-11-09T06:01:40.000Z
0.8606,"Congratulations #joshshapiro and #johnfetterman. Democracy will not die where it was born.

Thank you #PA",2022-11-09T06:01:30.000Z
0.5859,"#JohnFetterman win is not only an incredible win for #Pennsylvanians &amp; the US Senate but also for all people who've… https://t.co/clUjGot4uw",2022-11-09T06:01:25.000Z
0.5994,@JohnFetterman Congratulations (PA Senate) #JohnFetterman,2022-11-09T06:01:17.000Z
0,SMOCKING THAT FUCKING OZ PACK #Johnfetterman #Midterms2022 #leftist,2022-11-09T06:01:00.000Z
0.7249,"We love you, Senator!!!

#JohnFetterman https://t.co/54F5bB6UMm",2022-11-09T06:00:42.000Z
0.6688,Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman… https://t.co/89UuvGW5if,2022-11-09T06:00:21.000Z
0.6114,#JohnFetterman wins #Pensylvania! https://t.co/zuIc4dKyNO,2022-11-09T06:00:17.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T05:59:29.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T05:59:25.000Z
0.7884,"Yeehaw, @MSNBC projects #JohnFetterman has won the Senate race in #Pennsylvania So very excited!",2022-11-09T05:59:06.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T05:58:50.000Z
0.6776,"@JohnFetterman 🥁🥁🥁 #JohnFetterman it is!!! Congrats #Pennsylvania!!!
💯🇺🇸🗳🔔✨
#VoteBlueToSaveDemocracy #BlueTsunami2022 #StandWithBiden",2022-11-09T05:58:49.000Z
0.5859,"@nbcnews picks #JohnFetterman the winner in #PA,  @TheDemocrats pick-up. @mikeallen @RonBrownstein @NormOrnstein… https://t.co/mQRFIHBP4H",2022-11-09T05:58:46.000Z
-0.3818,"#JohnFetterman #wins #Pennsylvania #SenateRace, defeating TV doctor Mehmet Oz and flipping key state for #Democrats… https://t.co/y04QKybJ3y",2022-11-09T05:58:44.000Z
0,#Election2022 : Le Démocrate #JohnFetterman élu sénateur de #Pennsylvanie (@NBCNews).,2022-11-09T05:58:42.000Z
0,"@joncoopertweets 💙💙💙💙

They may have called it for Pa. #JohnFetterman over Oz!!

#BigWinForPa",2022-11-09T05:58:39.000Z
0.8221,"RT @ResisterSis20: Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T05:58:38.000Z
-0.5267,Someone whip up a loser crudité for Dr. Oz. #JohnFetterman https://t.co/NdJ4G6UHNk,2022-11-09T05:58:17.000Z
0.8221,"Congratulations #JohnFetterman for winning the US Senate race in Pennsylvania!

#FreshWords
#Election2022 
@MSNBC",2022-11-09T05:58:00.000Z
0.6776,"🥁🥁🥁 #JohnFetterman it is!!! Congrats #Pennsylvania!!!
💯🇺🇸🗳🔔✨
#VoteBlueToSaveDemocracy #BlueTsunami2022… https://t.co/GKfbcsw2WT",2022-11-09T05:57:57.000Z
0,@NBCNews is calling #JohnFetterman as the winner!!!!,2022-11-09T05:57:49.000Z
0,"RT @France24_fr: Course pour le contrôle du Sénat : en #Pennsylvanie 🇺🇸, ""plus de 82 % des bulletins ont été dépouillés"", indique @FannyCha…",2022-11-09T05:57:48.000Z
0,#JohnFetterman !! https://t.co/KsGfBTHT1S,2022-11-09T05:57:29.000Z
-0.3378,"Hey @DrOz go back to Jersey....wait we dont even want you!!!! 

#Elections2022 #ElectionDay #Vote2022 #Midterms2022… https://t.co/h1uP3dvpVw",2022-11-09T05:57:19.000Z
-0.296,There’s no way #JohnFetterman makes it through a full first term. It’s impossible.,2022-11-09T05:56:48.000Z
0,"Dr. Oz ain't heading down the golden brick road.

#JohnFetterman 👊",2022-11-09T05:56:45.000Z
0.636,"Congratulations, #JohnFetterman, new #Senator for #Pennsylvania!",2022-11-09T05:56:31.000Z
0.2732,"#JohnFetterman wins Pennsylvania Senate race, defeating Mehmet Oz and flipping key state for Democrats",2022-11-09T05:56:18.000Z
0,"LET'S FUCKING GOOOOOOOOOOOO!!!!!!!!!!! #JohnFetterman #Pennsylvania https://t.co/HGHBvl4vf3",2022-11-09T05:56:06.000Z
0.5859,"RT @SNAWorldNews: In the most closely watched Senate race, John Fetterman (D) is projected to win Pennsylvania race over Mehmet Oz (R). Thi…",2022-11-09T05:56:05.000Z
0.5859,"In the most closely watched Senate race, John Fetterman (D) is projected to win Pennsylvania race over Mehmet Oz (R… https://t.co/vihriH35cs",2022-11-09T05:55:52.000Z
0.5719,Breaking…. #JohnFetterman wins Pennsylvania US Senate race. @JohnFetterman #ElectionDay #Election2022,2022-11-09T05:55:49.000Z
-0.1027,"Pay attention to that guy behind the curtain.
#JohnFetterman #DrOz #Pennsylvania #ElectionNight #WizardOfOz https://t.co/T2OaR5noGY",2022-11-09T05:55:49.000Z
0.7199,"#JOHNFETTERMAN WINS THE SENATE IN #PENNSYLVANIA! 👏 @JohnFetterman
GO BACK TO JERSEY OZ! 😭 @DrOz
#Elections2022 #ElectionDay",2022-11-09T05:55:43.000Z
0.7243,"Yeeeeeesssss!!!!! Congratulations Pennsylvania and John Fetterman! 🥂
#PennsylvaniaSenateRace #JohnFetterman https://t.co/rikXtHqBLH",2022-11-09T05:55:39.000Z
0.5374,"#JohnFetterman!!!! @JohnFetterman 
Welcome to the United States Senate, sir!! And they said crime, inflation, and t… https://t.co/eFmSCYq94q",2022-11-09T05:55:21.000Z
0,NBC just called the #Pennsylvania Senate race for #JohnFetterman‼️ #DEMs up by 1 Senate seat❗️,2022-11-09T05:55:13.000Z
0,"YESSSSSS!!!!!!

#Elections2022 #ElectionDay #Vote2022 #Midterms2022 #ElectionNight #Senate #House #VoteBlueToday… https://t.co/84OaOjLptV",2022-11-09T05:55:13.000Z
0,@Politics_Polls @nytimes ... almost 2.500.000 voters voted for a mentally chalenged candidate -  #JohnFetterman to… https://t.co/v4fUBR8vy8,2022-11-09T05:55:09.000Z
0.9678,"FETTERMAN WON!!!
FETTERMAN WON!!!
FETTERMAN WON!!!
FETTERMAN WON!!!
#JohnFetterman",2022-11-09T05:54:51.000Z
0.5719,#JohnFetterman wins #Pennsylvania #Midterms #ElectionDay,2022-11-09T05:54:47.000Z
0.8449,"FETTERMAN WAS THE BETTER MAN!

Congratulations to Senator-elect @JohnFetterman!

#JohnFetterman #PASen #Pennsylvania",2022-11-09T05:54:35.000Z
0,"Course pour le contrôle du Sénat : en #Pennsylvanie 🇺🇸, ""plus de 82 % des bulletins ont été dépouillés"", indique… https://t.co/bUhYA2aTPe",2022-11-09T05:54:35.000Z
0.6981,"#FettermanIsTheBetterman
#SenatorFetterman
#JohnFetterman
Congratulations, @JohnFetterman!!! 💙💙💙 https://t.co/uFGapm5Ftb",2022-11-09T05:54:23.000Z
0,"#Congratulations #JohnFetterman! 💙

#BlueWave #Election2022 #Reaction",2022-11-09T05:54:09.000Z
0,Yessssssss Fetterman takes Pennsylvania!!! #ElectionDay #JohnFetterman,2022-11-09T05:54:03.000Z
0.2732,"RT @BGN960: #JohnFetterman wins #Pennsylvania Senate race, defeating TV doctor #MehmetWho? and flipping key state for #Democrats  https://t…",2022-11-09T05:53:57.000Z
0.6496,#JohnFetterman YES!!! https://t.co/Uqf64qfcTE,2022-11-09T05:53:53.000Z
0.8809,"@JohnFetterman WINS!! Congratulations, Senator #JohnFetterman!",2022-11-09T05:53:48.000Z
